,Tweet,HS_Physical
40,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
51,user awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,1
153,ih pintar orang politik kaca oi tampang k k orang bego user wkwk,1
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,1
253,user user user rabun budek gue tulis bicara,1
297,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1
339,user user user user user yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek otak,1
345,user kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
382,perempuan kayak mending mati deh jelek sok make up a ist,1
400,perjaka jual sok sok an booking tante idiot anjir,1
426,user user mata picek cuk norak lihat prestasi jokowi nguoblokkk tolol,1
480,user user mata lu picek ya janji jokowi tagih susilo bambang yudhoyono mata picek blok,1
483,user as clara anak pintar dongok kocak cantik idot tau malu urat malu putus butt muka nya imut banget,1
501,user user user user mata picek mata lihat belah,1
563,user bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
612,user user busuk mawati agama islam takut gejala gila nih nenek,1
616,user bera i cacat,1
645,user woi bolot,1
676,percaya akun user wa 081381413774 nya percaya video camera sex bukti video call detik pas suruh transfer alas nya nih muka nya kayak monyet uniform resource locator,1
737,user bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,1
843,user ya goblok mas jaka sembung bawa sepeda sekolah bawa golok gila nih orang tua nya,1
859,user heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis,1
905,user user iya jual sih koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah,1
920,sarap peduli bgstttttttt,1
926,user fix sinting,1
943,user tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga,1
971,user user baca berita nya nih aki ganggu jiwa nya 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila,1
1040,user cebong girang kibul najis bong mata picek,1
1092,user sinting rusak,1
1220,user user buta ya om,1
1254,user user user user kh ruf bicara belaga budek belaga pilon sundul,1
1274,user user ganti presiden ndasmu atos umbar cocot he goblok,1
1286,user presiden buta tuli pimpin tubruk tabrak budek dengar rakyat teriak lengser jokowi,1
1351,user user user user user user sih idiot jumawa menang kemarin,1
1358,user makar omong zon suka adu domba bawa nama islam agama pegang hidup orang sok suci zon mulut dower bacot,1
1416,user user minat mail looking at whole ya dulunya cheater silap and maaf sampah sarap sshhh,1
1433,perempuan kayak mending mati deh jelek sok make up a ist,1
1450,ngakakkk banget kepick ya derita nice mochi gue lo taken lo cacat,1
1462,user bencong idiot it berani akun asli sebar hoaks fitnah coba lihat akun cong,1
1529,wasit picek,1
1556,user orang edan,1
1568,usaha kayak coba gue ky gue korban pergi pagi pulang malam sinting,1
1632,kaca bolot uniform resource locator,1
1646,lihat tampang tampang banci lgbt uniform resource locator,1
1675,user user muka cabul muka sih banci berani anonim,1
1714,user adek ustad otak nangkring dengkul susah jalan bantu amplop biar oceh utara kidul adik ustad pelihara jenggot bandot doyan provokator santa santai adik ustad perut bun,1
1775,user ogah ajak pilih jokowi idiot,1
1776,user user cacat otak pelihara,1
1777,user user user mata picek a duit paksa beli hutang release 11 bank koar koar bayar dana urus dungu plus kocak ambil,1
1930,urus telur becus urus dasar cungkring peang 2 x,1
1943,alumni sekte togel kena ganggu jiwa,1
1969,cocot busuk,1
1973,user user user salah muka jelek mulut selamat tinggal otak kotor dik e munafik dakwah laku bejat,1
2080,user user rep help lelang acc mata picek mentang mentang nama iya bilang gue usn,1
2141,user kayak tai congor jablay lebar kayak anjing,1
2154,user mata picek,1
2155,badan gue bicara hoi dengar tulang gue bunyi mata gue lelah lihat layar melulu tangan cape etik melulu he budek gue dengar bego maaf gue,1
2310,user langsung strok wkwk orang picek tau,1
2328,user user kerja cornelis tionghoa stres gila,1
2355,user user user user user sih rosa muka tugu batu nissan gentle kaum cebong,1
2368,user peluang kerja rakyat warga asing nih bolot sektor,1
2405,muka kampung tampang laku sinkron,1
2433,hebat dungu bin idiot uniform resource locator,1
2448,sih kunyuk twitnya genap generalisasi kaum bacot mutu sepe i lihat sarap,1
2495,user user neng hormat pakai mulut bicara mohon maaf pakai silit,1
2501,user user mulut kampang,1
2596,user presiden malu bangsa plonga plongo tulah toleh boneka idiot,1
2657,user cacat,1
2699,user user user user puisi bajing wajah setan mulut iblis manusia binatang mesum seni monyet,1
2766,oi cebong ya dasar komunis ateis sifilis autis salib,1
2770,user mata gue picek pakai koma koma,1
2914,user user user user user user mata picek bukti hoaks bukti km lorot otak,1
2944,user main cacat masuk teco tolol,1
3056,user user malu tertawa dasar idiot,1
3143,user jelek budek,1
3158,user tulis gue paham gue otak gue otak otak autis kayak bikin thread goblok sel kulit mati,1
3196,user situ sarap bera i anjir,1
3270,user cacat user,1
3362,user gue anjing penasaran iya iya bicara maju garuda kuping budek,1
3416,user otak tara gender telanjang dasar mesum cacat,1
3429,user anjing tai goblok idiot bangsat monyet babi fuck kont kangen goblok iya tau kasar banget maaf,1
3487,user user peang sayang cinta bolot sok pintar lot gue,1
3518,user user user user user user user user user user user congor persis congor onta,1
3573,budek sih gendut user,1
3619,user user hai kampret goblok idiot bin bodoh baca pelihara peet kampret msu sehat turki israel hubung diplomatik uniform resource locator,1
3680,al alquran ya bang mulut kayak orang kafir bejat hina user,1
3786,mark pilih si reena mata picek belah,1
3789,user cacat,1
3837,user user amit amit dower burik keriput diposting anjing ogah lihat jijik,1
3948,asu wasit picek,1
